,timestamp,overall,confidence,comfortable,interested_next,suggestions,shoutout,moderator_name,moderator_suggestions,date,month,session,session_day,interested_next_norm,sentiment,moderator_sentiment,themes
120,2025-10-04 20:44:34,5.0,5.0,5.0,YES!!!,"I WOULD LOVE AND LIKE TO JOIN AGAIN!! ITS FUN AND EXCITING Really hope it will be lebih sering diadakan i mean seminggu 2/3× hskshk, I'm totally enjoy and having fun","Shout-out to Asha since I'm a listener and I really like to hear and listen story and Shout-out to Niko that help translate some word that I don't know in English, and Shout-out to everyone I'm enjoying this session and happy!!!!",Lilla,OVERALLL ITS GOOD AND FUN,2025-10-04,2025-10,"Saturday, 04 October 2025",Regular,Yes,Constructive,Positive,More sessions / higher frequency
121,2025-10-04 20:44:38,3.0,4.0,4.0,YES!!!,Mungkin bakal lebih seru kalau sambil main game,Makasih semua,Vincent,"Makasih Mr. Vincent udah jadi partner kita. I am so sorry if I am too flat, it is not because of you, it because I haven't sleep for 2 days. Semoga semoga mimpinya tercapai yaa mr Vincent",2025-10-04,2025-10,"Saturday, 04 October 2025",Regular,Yes,Constructive,Neutral,Games / activities
122,2025-10-04 20:44:43,5.0,5.0,5.0,YES!!!,This session of keminggris is really fun to do in a weekend!! please don't let me in waiting list🥺 cause I'm a faster hand to war this seats and I'm just a 19 or 20 person who on the list (this is 20 seats rightt🥺🥺) wkwkwkw love you keminggris!! hope i can join the session againn,"shotout to Levi for being kind, very excited, and very easy to open and bringing the topic from all the word wkwkwk (it's real)",Lilla,nothingg!! my momod is so kind!! hopefully we can being friend pleasee😻💥,2025-10-04,2025-10,"Saturday, 04 October 2025",Regular,Yes,Constructive,Neutral,Capacity / quota / registration
123,2025-10-04 20:44:52,5.0,5.0,5.0,YES!!!,"Mungkin someday keminggris bisa mengadakan sesi di outdoor sambil do something kyk jalan"" sambil kasi makan kucing :> or membahas tentang hal"" menarik di seputar malang","I don''t have spesific one, but all of the person on keminggris veryy funnn",Yudis,Kak yusdiss vewyyy amazinggg,2025-10-04,2025-10,"Saturday, 04 October 2025",Regular,Yes,Constructive,Neutral,Social / dinner / mingle
124,2025-10-10 20:47:14,4.0,4.0,4.0,YES!!!,,,Azmi,,2025-10-10,2025-10,"Friday, 10 October 2025",Friday,Yes,Neutral,Neutral,
125,2025-10-10 20:48:41,5.0,5.0,5.0,YES!!!,IT'S PRETTY FUN!!! TOTALLY WILL JOIN THE NEXT SESSIONN,"Shoutout to Kak Aulia, Kak Grace and Marsha for being kind and help about the topic in Group Talk/Discussion, it's nice to meet you guys! 🙌🏻🌟",Aulia,Totally great and enjoy conversation,2025-10-10,2025-10,"Friday, 10 October 2025",Friday,Yes,Positive,Positive,
126,2025-10-10 20:48:50,5.0,5.0,5.0,YES!!!,the session is really fun!!! i kind wish the whole session was discussion hehe it was so fun talking about everything with my group!,"shout out to everyone for making tonight really fun!!! the moderator in my group, kak aulia was so fun and we got to talk about so many things!!",Aulia,thank you so much kak for guiding the hang out sesh!!,2025-10-10,2025-10,"Friday, 10 October 2025",Friday,Yes,Constructive,Neutral,
127,2025-10-10 20:49:17,5.0,5.0,5.0,YES!!!,keep it going,"thank you for the group, mas niko, kak lilla, rhey, fresh, and ghia. nice to meet you guys",Lilla,very fun!,2025-10-10,2025-10,"Friday, 10 October 2025",Friday,Yes,Neutral,Positive,
128,2025-10-10 20:49:49,5.0,5.0,5.0,YES!!!,nothing,"thank you for kak sheehan and kak tifa, u guys really made me enjoy with the conversation",Tasya & Tifa,nothing,2025-10-10,2025-10,"Friday, 10 October 2025",Friday,Yes,Neutral,Neutral,
129,2025-10-10 20:50:15,5.0,5.0,4.0,YES!!!,i will join again!,Thank you so much kak Lila & kak Niko,Lilla,"very fun, but i think the convo is little bit deep cuz we talk about politics.",2025-10-10,2025-10,"Friday, 10 October 2025",Friday,Yes,Neutral,Positive,
130,2025-10-10 20:51:21,5.0,3.0,3.0,YES!!!,-,"Untuk semuanya. Your speaking skills is so cooll, jadi pingin belajar speaking😭😭",Lilla,Gokil,2025-10-10,2025-10,"Friday, 10 October 2025",Friday,Yes,Neutral,Neutral,
131,2025-10-10 20:51:30,5.0,5.0,5.0,YES!!!,,"actually every people really exciting and yeah, i always want it to saying this over and over again bcs i believe every person has their own excitement and yeah thats all!",Lilla,"not at all! they're really fun and always have a good topic, thats pretty funnnnnn omg",2025-10-10,2025-10,"Friday, 10 October 2025",Friday,Yes,Neutral,Constructive,
132,2025-10-18 20:52:05,5.0,5.0,5.0,YES!!!,nope,"kak aul namanya kaya kakak ku, aulia juga",Aulia,nope,2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Neutral,Neutral,
133,2025-10-18 20:52:06,5.0,5.0,5.0,YES!!!,,,Niko,,2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Neutral,Neutral,
134,2025-10-18 20:52:15,5.0,5.0,5.0,YES!!!,Nothing.. because is so perfectly,,Tifa,Just like i said. It was so perfectly,2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Neutral,Neutral,
135,2025-10-18 20:52:40,5.0,5.0,5.0,YES!!!,it all perfect like usual,shoutout to ka vincent for being an extrovert,Vincent,nooo,2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Positive,Neutral,
136,2025-10-18 20:52:41,5.0,5.0,5.0,YES!!!,Nope,Thanks for Ka Tasya and Ka Sheehan for the beautiful topics u brought to us,Tasya,Nope,2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Neutral,Neutral,
137,2025-10-18 20:53:56,5.0,5.0,5.0,YES!!!,OMG!!!! It’s so FUN fun,"Shoutout to Azmi, I love the way she thinks about zionism",Azmi,"No, it’s all good…",2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Positive,Positive,
138,2025-10-18 20:54:00,5.0,5.0,5.0,YES!!!,Veryy ffuuunn,Shout out to kak Yuddis karena tidak membuat our team awkward & really helpful,Yudis,Sangat helpfulll,2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Neutral,Neutral,
139,2025-10-18 20:54:22,5.0,5.0,5.0,YES!!!,"If possible, please increase the number of spots for a session, i really want to join again lol","Shoutout to, Sheehan and Tasya for coming with interesting topics and for Laras and Aura for sharing their stories and experience",Sheehan,"Its great already, i enjoy the topic that were given",2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Constructive,Constructive,
140,2025-10-18 20:54:24,5.0,5.0,5.0,YES!!!,it was really a challenge getting a seat in keminggris event and I didn't regret coming here! wish there would be more seats because I'd really love to come again,,Vincent,shout-out to kak Vincent who's been amazing in lifting up the group's energy!,2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Constructive,Positive,Capacity / quota / registration
141,2025-10-18 20:54:39,5.0,5.0,5.0,YES!!!,"5/5 no notes, I had lots of fun","nico was fun, very mature vibe and stuff",Niko,5/5 great mods,2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Positive,Positive,
142,2025-10-18 20:55:33,5.0,5.0,5.0,YES!!!,"sudah bagus, tapi tambah game biar seruu hehehe","angga is humble, and mas jun is fluent in english and really helping me",Tifa,"more activee, sudah oke",2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Constructive,Neutral,Games / activities
143,2025-10-18 20:59:18,5.0,5.0,5.0,YES!!!,"momodnya tolong lebih pelan ngomongnya kalo lagi ada pemaparan :( overall kondusif dan seru!!! (im looking forward to join keminggris as a MOMOD, i heard the demand is high ya 😝)",,Sheehan,,2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Constructive,Neutral,
144,2025-10-18 21:31:44,5.0,5.0,5.0,YES!!!,"All good, one thing that need e solution is how to manage the very high demand of the session 😅","What a fun convo session, Tifa always have a topic to talk so we don't have any dead air",Tifa,"All good, Tifa lead the convo very well, we have fun till the times up 😁😁",2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Positive,Positive,
145,2025-10-18 21:41:17,5.0,5.0,5.0,YES!!!,"Nothing, that's all great","Thank you for kak Aul, Reza and Widdhie",Aulia,"Nothing, it's all good",2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Positive,Positive,
146,2025-10-18 03:14:17,4.0,5.0,5.0,YES!!!,"it was all great, the mods, the concept, the participants bisa kerasa perbedaannya pas kumpul semua di awal dan di akhir, bisa lebih enjoy, lebih akrab dan bisa kerasa it's a safe space no judgement at all setelah selesai pun temen temen masih pada ngobrol pake bahasa Inggris",,Aulia,"she was great, she leads the conversation very well and gives my group an equal opportunity to speak",2025-10-18,2025-10,"Saturday, 18 October 2025",Regular,Yes,Constructive,Positive,Social / dinner / mingle
147,2025-10-24 20:44:03,5.0,5.0,5.0,YES!!!,,shout-out to mas Yudis for lighting up the mood,Aulia,I love mba aul's accent HAHA 🫶🏻🔥 and also mas niko's,2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Neutral,Positive,
148,2025-10-24 20:45:09,5.0,5.0,5.0,YES!!!,I dont have anything atm,"Shoutout to Niko and Aulia as the Moderator, and fellow group members, Jasmine, Virna, That Salma, and Yaya.

Shoutout to Ucup for the game aswell, really fun",Aulia,The sessions with moderators are great,2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Neutral,Positive,
149,2025-10-24 20:45:14,4.0,4.0,4.0,YES!!!,Mungkinn dalam satu minggu bisa dibuat 2 kali pertemuan hehe,,Yudis,Overall that's good,2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Neutral,Neutral,
150,2025-10-24 20:46:15,5.0,5.0,5.0,YES!!!,,,Yudis,,2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Neutral,Neutral,
151,2025-10-24 20:47:14,5.0,4.0,5.0,YES!!!,Make this progam one week 2 times,Shoutout to kak Nico and aul and all people in keminggris you are so kind and make us confident to speak english,Ucup,No,2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Constructive,Neutral,More sessions / higher frequency
152,2025-10-24 20:47:23,5.0,5.0,5.0,YES!!!,"I think its good, overall and interesting.",Kak Lilla is very kindheard because she helps me to translate my english,Lilla,I dont have criticism,2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Neutral,Neutral,
153,2025-10-24 20:47:34,5.0,4.0,5.0,YES!!!,why choose the gloomy topic tho😔 we came for fun😔 BUT STILL thanks for making this safety place for yap💓,shout out for the trauma bonding group🤞🤪 we can get through it all‼️,Aulia,,2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Negative,Neutral,Topics / learning content
154,2025-10-24 20:48:20,5.0,5.0,4.0,YES!!!,"It feels amazing tho, although I'm expecting more about the hangout session—especially about the time. Indeed 45 minutes was long one, but on the other hand some people don't really talk. So I think maybe the moderator could bring more or even play a part to let others to talk. But again, its a free hangout session and a lot people want to talk too. Great tho. About the topic, since its my first time maybe about things that quite 'in' nowadays",Shoutout to Sherly! She is so brave!,Lilla,She is good and great listener tho,2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Constructive,Positive,Topics / learning content
155,2025-10-24 20:49:26,5.0,5.0,4.0,YES!!!,make it more bigger forum please!(insert beg emoji) war for next session is out of hand😔,shoutout to ka lilla for making hangout session super fun!,Lilla,"nothing, they perfect",2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Constructive,Positive,Capacity / quota / registration
156,2025-10-24 22:13:03,5.0,5.0,5.0,YES!!!,"Just want a longer time and also not in night, maybe afternoon around 4/5 pm and then maybe I notice this : give a time for others to speak and don't be dominated this conversations","Maybe i would say thanks a lot for all those people I've met this night. What a wonderful social butterfly lol. Probably shoutout to Yudis (cmiiw), ucup, lilla, sheeran for being warm person and have a really quick (and little bit) meaningful conversation with me.",Yudis,No. Just bring chill and fun,2025-10-24,2025-10,"Friday, 24 October 2025",Friday,Yes,Constructive,Positive,More time / longer duration; Earlier or daytime schedule; Moderator facilitation
